"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","0","0","","0"
"0","","0","Fonctionnalité de recherche","1","0","User story : rechercher un jeu","0"
